flea,market,LEXICALIZED
drug,office,CREATE-PROVIDE-GENERATE-SELL
question,mark,OBJECTIVE
market,development,OBJECTIVE
debt,servicing,OBJECTIVE
campus,newspaper,LOCATION
mother,depression,EXPERIENCER-OF-EXPERIENCE
wheat,expert,TOPIC_OF_EXPERT
transformation,process,EQUATIVE
Mr.,Spielberg,PERSONAL_TITLE
garment,industry,CREATE-PROVIDE-GENERATE-SELL
media,sector,CREATE-PROVIDE-GENERATE-SELL
cover,letter,EQUATIVE
election,analyst,OBJECTIVE
race,organizer,OBJECTIVE
holiday,break,TIME-OF1
lumber,company,CREATE-PROVIDE-GENERATE-SELL
libel,law,TOPIC
weapon,proliferation,OBJECTIVE
art,expert,TOPIC_OF_EXPERT
Julia,Rosenthal,PERSONAL_NAME
voice,recorder,OBJECTIVE
fuel,price,RELATIONAL-NOUN-COMPLEMENT
modernization,plan,OBJECTIVE
core,lover,ADJ-LIKE_NOUN
month,stay,MEASURE
Sr.,Aristide,PERSONAL_TITLE
hit,list,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
funeral,plan,OBJECTIVE
hour,speech,MEASURE
thrift industry,regulator,OBJECTIVE
army,helicopter,OWNER-USER
lifestyle,category,EQUATIVE
cartoon,character,EQUATIVE
police,commission,PERFORM&ENGAGE_IN
island,territory,EQUATIVE
research,organization,PERFORM&ENGAGE_IN
observer,team,PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
water,need,OBJECTIVE
movie,rights,CREATE-PROVIDE-GENERATE-SELL
newscast,text,RELATIONAL-NOUN-COMPLEMENT
league,affair,TOPIC
city,district,LOCATION
finance,arm,PERFORM&ENGAGE_IN
badminton,championship,EQUATIVE
movie,poster,TOPIC
policy,group,ORGANIZE&SUPERVISE&AUTHORITY
briefing,book,PERFORM&ENGAGE_IN
suit,jacket,WHOLE+PART_OR_MEMBER_OF
life,support,OBJECTIVE
commission,staff,EMPLOYER
broadband,network,CREATE-PROVIDE-GENERATE-SELL
wheat,importer,OBJECTIVE
child,official,ORGANIZE&SUPERVISE&AUTHORITY
headquarters,building,EQUATIVE
table,setting,OBJECTIVE
surprise,victory,EQUATIVE
bidding,committee,PERFORM&ENGAGE_IN
implementation,plan,OBJECTIVE
reversal,rate,RELATIONAL-NOUN-COMPLEMENT
adjustment,screw,PERFORM&ENGAGE_IN
year,experience,MEASURE
communication,facility,PERFORM&ENGAGE_IN
signing,ceremony,PERFORM&ENGAGE_IN
cartel,leader,OBJECTIVE
troop,commander,OBJECTIVE
assistant,attorney,EQUATIVE
foot,tower,MEASURE
safety,tip,TOPIC
hotel,development,OBJECTIVE
year,limit,MEASURE
wine,fair,RELATIONAL-NOUN-COMPLEMENT
protection,force,PERFORM&ENGAGE_IN
organ,failure,OBJECTIVE
barter,deal,TOPIC
drug,analyst,OBJECTIVE
telecommunication,concern,OTHER
research,result,CREATOR-PROVIDER-CAUSE_OF
fumble,recovery,OBJECTIVE
rap,artist,CREATE-PROVIDE-GENERATE-SELL
installment,payment,OTHER
control,project,PERFORM&ENGAGE_IN
customer,support,OBJECTIVE
newspaper,reporter,EMPLOYER
state,leader,OBJECTIVE
court,room,USER_RECIPIENT
tax,credit,OTHER
brand,manager,OBJECTIVE
film,stock,SUBSTANCE-MATERIAL-INGREDIENT
investment,destination,PERFORM&ENGAGE_IN
conference,manifesto,RELATIONAL-NOUN-COMPLEMENT
mail,scam,MEANS
stop,order,OBJECTIVE
bedroom,window,LOCATION
maize,production,OBJECTIVE
mining,law,TOPIC
refugee,issue,TOPIC
ballistics,test,OBJECTIVE
birthday,bash,PURPOSE
seat,license,PERFORM&ENGAGE_IN
pitching,hand,PERFORM&ENGAGE_IN
aerospace,analyst,OBJECTIVE
home,party,LOCATION
life,sentence,TIME-OF1
